# Time   VAF(t)
11.315472  0.009155
11.335464  0.012513
11.355456  0.020718
11.375448  0.030171
11.395440  0.036217
11.415432  0.034940
11.435424  0.024625
11.455416  0.006632
11.475408  -0.015062
11.495400  -0.035351
11.515392  -0.049413
11.535384  -0.053809
11.555376  -0.047734
11.575368  -0.034123
11.595360  -0.019129
11.615352  -0.009564
11.635344  -0.009608
11.655336  -0.018311
11.675328  -0.028983
11.695320  -0.031410
11.715312  -0.017030
11.735304  0.015296
11.755296  0.056956
11.775288  0.092895
11.795280  0.108902
11.815272  0.098087
11.835264  0.063112
11.855256  0.013982
11.875248  -0.036562
11.895240  -0.077199
11.915232  -0.100538
11.935224  -0.104023
11.955216  -0.089679
11.975208  -0.062717
11.995200  -0.029209
12.015192  0.006040
12.035184  0.040110
12.055176  0.070834
12.075168  0.094955
12.095160  0.107634
12.115152  0.104126
12.135144  0.082332
12.155136  0.044818
12.175128  -0.000948
12.195120  -0.044837
12.215112  -0.077832
12.235104  -0.094927
12.255096  -0.095536
12.275088  -0.081941
12.295080  -0.057972
12.315072  -0.028827
12.335064  -0.000726
12.355056  0.020840
12.375048  0.033366
12.395040  0.038049
12.415032  0.038463
12.435024  0.038536
12.455016  0.040691
12.475008  0.044306
12.495000  0.045383
12.514992  0.038710
12.534984  0.021598
12.554976  -0.003596
12.574968  -0.029894
12.594960  -0.049032
12.614952  -0.055697
12.634944  -0.049948
12.654936  -0.036607
12.674928  -0.022441
12.694920  -0.012975
12.714912  -0.010224
12.734904  -0.012044
12.754896  -0.013440
12.774888  -0.008940
12.794880  0.005152
12.814872  0.028629
12.834864  0.056093
12.854856  0.078060
12.874848  0.084716
12.894840  0.070071
12.914832  0.034383
12.934824  -0.015424
12.954816  -0.067392
12.974808  -0.107997
12.994800  -0.126363
13.014792  -0.117458
13.034784  -0.083182
13.054776  -0.031762
13.074768  0.024358
13.094760  0.072308
13.114752  0.103204
13.134744  0.114521
13.154736  0.109037
13.174728  0.092054
13.194720  0.069201
13.214712  0.044976
13.234704  0.021295
13.254696  -0.003113
13.274688  -0.030846
13.294680  -0.062114
13.314672  -0.092251
13.334664  -0.112633
13.354656  -0.114549
13.374648  -0.093779
13.394640  -0.053579
13.414632  -0.004784
13.434624  0.037404
13.454616  0.058991
13.474608  0.053008
13.494600  0.023385
13.514592  -0.015735
13.534584  -0.046077
13.554576  -0.053470
13.574568  -0.033526
13.594560  0.007286
13.614552  0.054724
13.634544  0.092366
13.654536  0.107733
13.674528  0.096479
13.694520  0.063363
13.714512  0.020048
13.734504  -0.019306
13.754496  -0.042703
13.774488  -0.043809
13.794480  -0.024495
13.814472  0.004989
13.834464  0.029893
13.854456  0.037393
13.874448  0.021705
13.894440  -0.014094
13.914432  -0.059137
13.934424  -0.098334
13.954416  -0.117537
13.974408  -0.108470
13.994400  -0.072137
14.014392  -0.019008
14.034384  0.034809
14.054376  0.073645
14.074368  0.088035
14.094360  0.077810
14.114352  0.051291
14.134344  0.021222
14.154336  -0.000522
14.174328  -0.007376
14.194320  -0.000585
14.214312  0.011724
14.234304  0.019260
14.254296  0.015306
14.274288  -0.000033
14.294280  -0.020769
14.314272  -0.038720
14.334264  -0.047458
14.354256  -0.044197
14.374248  -0.029698
14.394240  -0.007611
14.414232  0.016629
14.434224  0.037287
14.454216  0.049353
14.474208  0.049625
14.494200  0.037962
14.514192  0.017418
14.534184  -0.006730
14.554176  -0.028298
14.574168  -0.041783
14.594160  -0.043873
14.614152  -0.034659
14.634144  -0.018230
14.654136  -0.001947
14.674128  0.006469
14.694120  0.002947
14.714112  -0.010067
14.734104  -0.023916
14.754096  -0.028119
14.774088  -0.016695
14.794080  0.008297
14.814072  0.038795
14.834064  0.065524
14.854056  0.081312
14.874048  0.082299
14.894040  0.068403
14.914032  0.043020
14.934024  0.012044
14.954016  -0.017933
14.974008  -0.041754
14.994000  -0.057207
15.013992  -0.065329
15.033984  -0.068818
15.053976  -0.069238
15.073968  -0.065387
15.093960  -0.054180
15.113952  -0.033412
15.133944  -0.004215
15.153936  0.028404
15.173928  0.056919
15.193920  0.073938
15.213912  0.075320
15.233904  0.061850
15.253896  0.038226
15.273888  0.010700
15.293880  -0.014888
15.313872  -0.034465
15.333864  -0.046228
15.353856  -0.050070
15.373848  -0.046665
15.393840  -0.037298
15.413832  -0.024119
15.433824  -0.009960
15.453816  0.002308
15.473808  0.010323
15.493800  0.012865
15.513792  0.010694
15.533784  0.007199
15.553776  0.007528
15.573768  0.015996
15.593760  0.033431
15.613752  0.056244
15.633744  0.077556
15.653736  0.089670
15.673728  0.086508
15.693720  0.065730
15.713712  0.030038
15.733704  -0.013393
15.753696  -0.055244
15.773688  -0.087165
15.793680  -0.104281
15.813672  -0.105897
15.833664  -0.094437
15.853656  -0.073858
15.873648  -0.048659
15.893640  -0.023669
15.913632  -0.003641
15.933624  0.008262
15.953616  0.011985
15.973608  0.010840
